Category,Item Name,Unit,Price
Breakfast & Snacks,Samosa,1-2 pcs,20.00
Breakfast & Snacks,Vada Pav,1 pc,25.00
Breakfast & Snacks,Idli Sambhar,2 pcs,35.00
Breakfast & Snacks,Masala Dosa,1 plate,60.00
Breakfast & Snacks,Aloo Paratha (with curd/pickle),1 plate (1-2 pcs),45.00
Breakfast & Snacks,Chole Bhature,2 bhature + curry,75.00
Breakfast & Snacks,Poori Bhaji / Sabzi,4 pooris + curry,55.00
Breads & Rice,Tawa Roti / Phulka,Per piece,10.00
Breads & Rice,Tandoori Roti / Butter Roti,Per piece,18.00
Breads & Rice,Plain / Butter Naan,Per piece,35.00
Breads & Rice,Plain Steamed / Jeera Rice,Full plate,75.00
Main Course (Veg),Dal Tadka / Dal Fry,Full plate,95.00
Main Course (Veg),Dal Makhani,Full plate,120.00
Main Course (Veg),Aloo Gobi / Jeera Aloo,Full plate,100.00
Main Course (Veg),Mixed Vegetable Curry,Full plate,125.00
Main Course (Veg),Paneer Butter Masala / Kadai Paneer,Full plate,170.00
Main Course (Veg),Veg Pulao / Veg Biryani,Full plate,125.00
Main Course (Veg),Standard Veg Thali,Full meal platter,120.00
Main Course (Non-Veg),Egg Curry,2 eggs + gravy,105.00
Main Course (Non-Veg),Chicken Curry / Chicken Masala,3-4 pcs + gravy,190.00
Main Course (Non-Veg),Butter Chicken / Kadai Chicken,Full/Half portion,225.00
Main Course (Non-Veg),Chicken Biryani,Full plate,175.00
Main Course (Non-Veg),Fish Curry (Local catch),2-3 pcs + gravy,200.00
Main Course (Non-Veg),Mutton Curry / Rogan Josh,3-4 pcs + gravy,310.00
Main Course (Non-Veg),Non-Veg Thali (Chicken),Full meal platter,190.00
Indo-Chinese & Fast Food,Veg Fried Rice / Chowmein,Full plate,90.00
Indo-Chinese & Fast Food,Chicken Fried Rice / Chowmein,Full plate,125.00
Indo-Chinese & Fast Food,Veg / Chicken Momos,6-8 pcs,65.00
Desserts,Gulab Jamun,2 pcs,45.00
Desserts,Rasgulla,2 pcs,40.00
Desserts,Gajar Ka Halwa (Seasonal),1 cup (100g),70.00
Desserts,Kulfi / Ice Cream Scoop,1 serving,40.00
Beverages,Cutting Chai / Special Tea,1 cup,15.00
Beverages,Filter Coffee,1 cup,25.00
Beverages,Sweet / Salted Lassi,1 glass,45.00
Beverages,Chaas (Spiced Buttermilk),1 glass,20.00
Beverages,Fresh Lime Soda / Water,1 glass,35.00
